Age,Height,Weight,Size
6,84,2,S
14,141,34,L
10,90,31,M
7,85,9,S
6,85,16,S
10,89,20,M
10,93,20,M
3,74,3,S
7,80,23,M
2,68,10,S
1,50,2,S
11,125,19,M
5,51,2,S
1,65,8,S
0,52,5,S
11,89,27,M
11,102,17,S
16,110,39,M
9,98,18,S
15,119,25,M
14,100,25,M
14,121,31,M
11,106,29,M
2,81,2,S
4,78,2,S
6,56,11,S
8,84,19,S
6,91,10,S
3,50,2,S
13,107,37,M
8,90,23,M
1,50,12,S
14,135,33,M
6,81,17,S
11,105,23,M
7,75,16,S
14,108,34,M
2,61,12,S
13,114,26,M
16,117,34,M
3,67,2,S
7,85,18,S
3,61,2,S
1,66,12,S
5,74,14,S
9,92,16,S
3,76,11,S
11,103,14,S
1,50,2,S
9,83,28,M
3,65,4,S
13,124,30,M
15,120,32,M
14,106,29,M
7,95,14,S
13,125,37,M
7,90,15,S
15,125,31,M
12,114,29,M
14,104,24,M
12,104,24,M
8,96,18,S
14,123,31,M
12,119,33,M
0,65,2,S
6,67,13,S
8,94,15,S
0,50,4,S
11,100,18,S
7,109,15,S
10,84,17,S
16,128,36,M
7,82,15,S
2,60,11,S
2,50,2,S
0,50,4,S
4,70,5,S
9,81,21,M
6,89,14,S
8,95,21,M
6,64,12,S
8,87,17,S
7,88,24,M
11,91,21,M
1,50,2,S
0,50,2,S
15,151,24,L
4,80,15,S
2,53,4,S
11,91,26,M
7,76,17,S
2,75,9,S
0,70,2,S
2,51,5,S
4,73,13,S
14,117,34,M
13,127,31,M
2,50,16,S
0,59,5,S
4,56,12,S
13,124,35,M
6,71,17,S
8,86,24,M
14,113,29,M
14,139,22,M
9,104,23,M
12,105,25,M
6,71,17,S
16,143,29,L
3,50,10,S
4,74,9,S
6,70,16,S
12,132,21,M
14,147,31,L
10,100,29,M
3,61,4,S
12,110,27,M
6,73,9,S
1,50,4,S
9,97,20,M
12,116,23,M
5,76,7,S
11,107,19,S
11,98,30,M
10,90,11,S
6,70,12,S
0,57,2,S
0,50,2,S
12,112,26,M
8,93,18,S
2,59,2,S
6,81,12,S
5,87,22,M
7,92,20,M
8,88,17,S
4,65,9,S
0,60,2,S
9,98,22,M
11,101,21,M
14,107,36,M
8,106,17,S
16,118,33,M
16,132,34,M
11,123,27,M
6,76,16,S
1,54,11,S
2,68,2,S
16,118,31,M
4,53,11,S
16,126,34,M
16,130,37,M
16,130,37,M
1,69,5,S
1,50,5,S
4,68,12,S
0,65,5,S
0,50,5,S
1,74,2,S
11,102,26,M
5,68,9,S
3,64,9,S
10,102,19,S
16,125,40,L
5,78,14,S
4,68,15,S
1,67,2,S
5,80,11,S
10,100,15,S
15,121,27,M
15,133,33,M
0,50,3,S
8,85,21,M
5,67,12,S
15,131,29,M
2,55,2,S
3,62,8,S
2,65,5,S
6,90,10,S
8,95,24,M
0,58,6,S
7,92,14,S
6,80,12,S
7,88,17,S
0,68,6,S
10,98,15,S
9,84,16,S
2,50,9,S
6,99,9,S
15,144,36,L
15,115,28,M
16,142,36,L
1,65,3,S
0,56,5,S
15,130,32,M
11,97,19,S
4,71,6,S
4,73,8,S
8,90,21,M
8,89,16,S
2,73,2,S
15,135,34,M
15,133,22,M
2,69,13,S
0,52,2,S
10,111,20,M
16,118,38,M
7,85,18,S
3,72,9,S
5,80,20,M
7,88,21,M
2,69,11,S
15,139,33,M
2,50,2,S
13,118,26,M
1,50,5,S
2,70,3,S
15,132,32,M
8,80,24,M
3,64,7,S
0,50,5,S
3,74,5,S
0,50,2,S
13,103,18,S
15,121,30,M
7,90,12,S
6,82,13,S
2,55,11,S
16,128,34,M
0,50,7,S
15,115,27,M
11,86,23,M
13,114,28,M
5,80,22,M
5,74,12,S
12,130,24,M
7,79,9,S
1,54,4,S
0,54,8,S
14,124,32,M
0,50,2,S
4,69,5,S
15,124,30,M
3,71,2,S
2,53,3,S
16,105,35,M
16,126,34,M
11,121,20,M
13,123,25,M
5,59,10,S
2,66,2,S
8,92,16,S
4,66,2,S
16,119,39,M
13,106,27,M
2,54,10,S
0,68,9,S
0,56,3,S
2,52,10,S
9,89,30,M
2,59,6,S
7,80,19,S
13,115,31,M
14,118,25,M
1,55,9,S
9,75,8,S
1,63,15,S
16,124,28,M
7,94,22,M
0,71,2,S
8,75,15,S
10,100,17,S
15,120,35,M
6,83,21,M
9,73,18,S
2,56,7,S
12,101,30,M
6,96,15,S
3,83,7,S
12,107,25,M
0,50,2,S
7,76,14,S
13,115,32,M
15,110,37,M
13,120,28,M
11,103,29,M
14,123,35,M
1,58,6,S
1,68,5,S
16,136,24,M
9,97,23,M
5,77,2,S
14,100,30,M
10,101,23,M
4,76,15,S
0,50,2,S
7,101,5,S
11,90,21,M
11,97,30,M
4,63,4,S
6,80,10,S
3,58,13,S
5,62,22,M
12,106,25,M
14,130,36,M
2,67,6,S
7,78,2,S
15,121,32,M
12,102,27,M
9,82,16,S
16,134,30,M
4,57,10,S
8,96,25,M
11,123,23,M
0,53,2,S
0,56,5,S
14,125,43,L
1,50,4,S
15,128,35,M
7,88,22,M
12,103,24,M
0,50,2,S
15,114,39,M
6,70,12,S
4,75,8,S
2,50,2,S
11,123,18,M
15,141,36,L
4,80,16,S
13,109,23,M
4,50,9,S
14,128,34,M
16,122,29,M
13,122,37,M
4,76,14,S
11,100,20,M
15,112,31,M
15,126,29,M
6,64,13,S
3,67,5,S
0,54,2,S
4,63,10,S
9,79,26,M
4,86,6,S
3,59,10,S
1,52,11,S
9,105,18,S
0,50,10,S
4,62,2,S
12,130,23,M
3,57,15,S
15,137,32,M
15,126,34,M
1,56,5,S
16,124,46,L
11,103,22,M
2,77,2,S
0,58,2,S
0,50,2,S
10,90,27,M
4,73,6,S
11,111,26,M
2,67,2,S
0,50,2,S
0,50,2,S
7,76,15,S
9,71,26,M
10,116,26,M
11,78,23,M
12,107,26,M
11,87,24,M
13,109,18,S
1,60,2,S
2,50,4,S
16,133,30,M
7,93,23,M
9,90,16,S
1,82,2,S
8,67,23,M
6,62,3,S
3,61,15,S
12,107,20,M
10,101,20,M
3,74,8,S
3,52,6,S
9,81,22,M
4,63,7,S
8,100,23,M
2,68,6,S
16,129,38,M
2,54,3,S
15,123,31,M
3,68,10,S
16,130,34,M
6,65,6,S
4,55,18,S
11,102,26,M
16,137,43,L
12,99,23,M
2,64,2,S
8,72,22,M
16,130,43,L
16,122,28,M
15,104,28,M
12,104,30,M
16,117,35,M
3,62,7,S
11,109,25,M
8,94,17,S
11,85,31,M
8,95,15,S
6,84,18,S
13,110,21,M
14,107,28,M
15,120,25,M
4,86,14,S
2,65,9,S
11,114,30,M
3,55,17,S
15,119,29,M
6,67,11,S
12,103,15,S
9,108,20,M
6,75,18,S
13,108,24,M
4,72,6,S
2,54,2,S
10,100,21,M
10,94,28,M
14,121,34,M
11,101,32,M
8,78,12,S
9,105,17,S
11,123,26,M
16,134,30,M
5,59,12,S
6,77,17,S
13,117,31,M
12,93,26,M
7,79,11,S
9,80,15,S
8,79,14,S
1,58,11,S
4,69,17,S
4,59,18,S
5,74,10,S
7,81,5,S
15,133,31,M
12,89,23,M
0,50,7,S
16,145,41,L
6,68,6,S
12,99,24,M
3,59,16,S
3,77,5,S
5,79,13,S
11,94,29,M
6,79,18,S
9,91,23,M
6,84,12,S
2,59,9,S
12,111,20,M
12,106,35,M
7,98,19,S
8,89,17,S
6,73,14,S
0,60,2,S
2,65,8,S
12,100,25,M
